Person,District,Estate
Alan Ng, Kowloon City, Whampoa Garden
Leung Hin Ming, Kwai Tsing, Shek Lei (II) Estate
Cheng Ching Hei, Sham Shui Po, Eastland Towers
Kenton Lam, Sha Tin, Belair Gardens
Pang King Lok, Tuen Mun, Parkland Villas
Angus Tsang, Yuen Long, Tin Heng Estate
Ken Leung,, Park Belvedere
William Lam, Jordan, Man Yiu Building
Wilson Chang, Tuen Mun, The Sherwood
Tommy Chan, Sha Tin, Sun Shine City
So Shu Wai, Fanling, Wah Ming Estate
Yeung Hau Lam, Sheung Shui, Good View Building
Lam Chi Ho, Yuen Long, Maywood Court
Chin Kiu Pak, Sha Tin, The Grandville
